74;61;27;542;322;311;564
138;NO;YES;NO;NO;NO;NO;YES
226;NO;NO;NO;NO;NO;NO;YES
237;NO;NO;NO;YES;NO;NO;YES
256;YES;NO;NO;NO;NO;NO;YES
258;NO;NO;NO;NO;NO;NO;YES
291;NO;NO;NO;NO;NO;NO;YES
310;YES;NO;NO;NO;NO;NO;YES
323;NO;NO;NO;YES;NO;NO;YES
381;YES;NO;NO;NO;NO;NO;YES
411;NO;NO;NO;NO;NO;NO;YES
430;NO;YES;NO;NO;NO;NO;YES
454;YES;NO;NO;YES;YES;NO;NO
500;YES;NO;NO;NO;NO;NO;YES
527;YES;NO;YES;NO;NO;NO;YES
530;YES;NO;YES;NO;YES;NO;NO
543;NO;NO;NO;NO;NO;NO;YES
544;YES;NO;YES;YES;YES;NO;NO
558;YES;NO;NO;NO;NO;NO;YES
559;NO;NO;NO;NO;NO;NO;YES
636;YES;NO;YES;NO;YES;NO;NO
643;YES;NO;YES;NO;YES;NO;NO
745;NO;NO;YES;NO;NO;NO;YES
749;NO;NO;NO;NO;NO;NO;YES
751;NO;YES;NO;NO;NO;NO;YES
805;YES;NO;YES;YES;NO;NO;NO
806;NO;NO;NO;NO;NO;NO;YES
839;NO;NO;NO;YES;NO;NO;YES
858;NO;NO;NO;NO;NO;NO;YES
871;NO;NO;NO;NO;NO;NO;YES
925;YES;NO;NO;YES;YES;NO;NO
927;NO;NO;NO;NO;NO;YES;YES
975;NO;NO;NO;NO;NO;NO;YES
980;YES;NO;NO;NO;NO;NO;YES
1006;NO;NO;YES;YES;NO;NO;YES
1044;NO;NO;NO;NO;NO;NO;YES
1111;NO;NO;NO;NO;NO;NO;YES
1143;NO;NO;NO;NO;NO;NO;YES
1275;NO;NO;NO;NO;NO;NO;YES
1279;NO;NO;NO;YES;NO;NO;YES
1296;YES;NO;YES;YES;NO;NO;NO
1315;NO;NO;NO;NO;YES;NO;YES
1422;YES;NO;NO;NO;NO;NO;YES
1593;NO;NO;NO;NO;NO;NO;YES
1654;NO;NO;NO;NO;YES;NO;YES
1707;NO;NO;NO;NO;NO;NO;YES
1709;NO;NO;YES;NO;NO;NO;YES
1716;NO;NO;NO;NO;NO;NO;YES
1721;NO;NO;NO;YES;NO;NO;YES
1754;NO;NO;NO;NO;NO;NO;YES
1787;NO;NO;NO;NO;NO;NO;YES
1844;NO;NO;NO;NO;NO;NO;YES
2003;NO;NO;NO;NO;NO;NO;YES
2048;NO;NO;NO;NO;NO;NO;YES
2061;NO;NO;NO;NO;NO;NO;YES
2121;NO;NO;NO;NO;NO;NO;YES
2146;YES;NO;YES;NO;YES;NO;NO
2272;NO;YES;NO;NO;NO;NO;YES
2279;NO;NO;NO;YES;NO;NO;YES
2286;YES;NO;NO;NO;NO;NO;YES
2297;YES;NO;YES;NO;NO;NO;YES
2335;NO;NO;NO;NO;NO;NO;YES
2472;NO;NO;NO;YES;NO;NO;YES
2526;YES;YES;NO;NO;NO;YES;NO
2538;YES;NO;YES;YES;NO;NO;NO
2646;NO;YES;NO;NO;NO;NO;YES
2694;YES;NO;YES;YES;NO;NO;NO
2703;NO;NO;NO;YES;NO;NO;YES
2708;NO;NO;NO;NO;NO;NO;YES
2763;NO;NO;NO;NO;NO;NO;YES
2771;YES;NO;YES;YES;NO;NO;NO
2802;NO;NO;NO;NO;NO;NO;YES
2858;YES;NO;NO;NO;YES;YES;NO
2903;NO;NO;NO;NO;NO;NO;YES
2977;YES;YES;YES;NO;NO;NO;NO
2984;YES;NO;NO;YES;YES;YES;NO
3010;NO;NO;NO;NO;NO;NO;YES
3074;NO;NO;NO;NO;NO;NO;YES
3093;YES;YES;NO;NO;YES;NO;NO
3107;YES;NO;YES;YES;NO;NO;NO
3124;NO;NO;NO;NO;NO;NO;YES
3174;NO;NO;NO;NO;NO;NO;YES
3260;YES;NO;NO;NO;NO;NO;YES
3441;NO;NO;NO;NO;NO;NO;YES
3483;NO;NO;NO;NO;NO;NO;YES
3500;NO;NO;NO;NO;NO;NO;YES
3504;NO;NO;NO;NO;NO;YES;YES
3547;NO;NO;NO;NO;NO;NO;YES
3618;NO;NO;NO;YES;NO;YES;YES
3721;YES;NO;NO;YES;YES;NO;NO
3749;YES;NO;YES;YES;NO;NO;NO
3845;NO;NO;NO;NO;NO;NO;YES
3939;NO;NO;NO;NO;NO;NO;YES
4042;YES;NO;NO;NO;YES;YES;NO
4152;NO;NO;NO;NO;NO;NO;YES
4187;NO;NO;NO;NO;NO;NO;YES
4265;NO;NO;YES;NO;NO;NO;YES
4271;NO;NO;NO;NO;NO;NO;YES
4376;NO;NO;NO;NO;NO;NO;YES
4517;NO;NO;NO;NO;NO;NO;YES
4525;NO;NO;NO;NO;NO;NO;YES
4608;YES;NO;NO;NO;NO;NO;YES
4631;YES;YES;YES;NO;NO;NO;NO
4669;NO;NO;NO;YES;NO;NO;YES
4697;NO;NO;NO;NO;NO;NO;YES
4705;NO;NO;NO;YES;NO;NO;YES
4774;NO;NO;NO;NO;NO;NO;YES
4859;NO;NO;NO;NO;NO;NO;YES
4860;NO;NO;NO;NO;NO;NO;YES
4913;YES;NO;NO;NO;NO;NO;YES
4944;NO;NO;NO;NO;NO;NO;YES
4972;NO;NO;NO;NO;NO;NO;YES
5073;YES;NO;NO;NO;NO;NO;YES
5076;YES;NO;NO;NO;NO;NO;YES
5149;NO;NO;NO;NO;NO;NO;YES
